# b'S_22p5_45_M'
# q I errors
1.870998193841204305e-02 1.390904784202575684e+00 2.842230256646871567e-03
1.882235417352175894e-02 1.383587479591369629e+00 2.823777496814727783e-03
1.893472640863147483e-02 1.366902709007263184e+00 2.801286056637763977e-03
1.904709864374119072e-02 1.352481603622436523e+00 2.781382063403725624e-03
1.915947087885090314e-02 1.344181776046752930e+00 2.759397728368639946e-03
1.927184311396061903e-02 1.336510896682739258e+00 2.749406965449452400e-03
1.938421534907033145e-02 1.323230981826782227e+00 2.789594465866684914e-03
1.949658758418004734e-02 1.310894608497619629e+00 2.814329229295253754e-03
1.960895981928976323e-02 1.297931075096130371e+00 2.832973143085837364e-03
1.972133205439947912e-02 1.285231232643127441e+00 2.834212733432650566e-03
1.983370428950919154e-02 1.262986660003662109e+00 2.810904057696461678e-03
1.994607652461890743e-02 1.250906825065612793e+00 2.806041622534394264e-03
2.005844875972861985e-02 1.246057271957397461e+00 2.802890259772539139e-03
2.017082099483833574e-02 1.230857372283935547e+00 2.781638409942388535e-03
2.028319322994805163e-02 1.215829133987426758e+00 2.772792009636759758e-03
2.039556546505776405e-02 1.204897284507751465e+00 2.759346039965748787e-03
2.050793770016747994e-02 1.196873188018798828e+00 2.746881684288382530e-03
2.062030993527719236e-02 1.186963558197021484e+00 2.736862283200025558e-03
2.073268217038690825e-02 1.179338693618774414e+00 2.727789804339408875e-03
2.084505440549662414e-02 1.163750767707824707e+00 2.706637606024742126e-03
2.095742664060634003e-02 1.151934981346130371e+00 2.696992130950093269e-03
2.106979887571605245e-02 1.139620780944824219e+00 2.679203404113650322e-03
2.118217111082576834e-02 1.142554879188537598e+00 2.637663623318076134e-03
2.129454334593548076e-02 1.130628585815429688e+00 2.566386712715029716e-03
2.140691558104519665e-02 1.117733716964721680e+00 2.518821042031049728e-03
2.151928781615491254e-02 1.106582880020141602e+00 2.476487075909972191e-03
2.163166005126462843e-02 1.093297004699707031e+00 2.454360015690326691e-03
2.174403228637434085e-02 1.087525606155395508e+00 2.439327305182814598e-03
2.185640452148405674e-02 1.074646353721618652e+00 2.405026229098439217e-03
2.196877675659376916e-02 1.064405441284179688e+00 2.392240101471543312e-03
2.208114899170348505e-02 1.051621317863464355e+00 2.370477188378572464e-03
2.219352122681320094e-02 1.041834712028503418e+00 2.344539854675531387e-03
2.230589346192291683e-02 1.032744884490966797e+00 2.330376300960779190e-03
2.241826569703262925e-02 1.028327345848083496e+00 2.320847474038600922e-03
2.253063793214234514e-02 1.020005345344543457e+00 2.299014013260602951e-03
2.264301016725205756e-02 1.009319901466369629e+00 2.282231813296675682e-03
2.275538240236177345e-02 1.002499818801879883e+00 2.272718586027622223e-03
2.286775463747148934e-02 9.921145439147949219e-01 2.247718628495931625e-03
2.298012687258120523e-02 9.789947867393493652e-01 2.228142693638801575e-03
2.309249910769091765e-02 9.784812927246093750e-01 2.225208096206188202e-03
2.320487134280063354e-02 9.675520062446594238e-01 2.199955517426133156e-03
2.331724357791034596e-02 9.589414000511169434e-01 2.186168218031525612e-03
2.342961581302006185e-02 9.536833167076110840e-01 2.177540678530931473e-03
2.354198804812977774e-02 9.460819959640502930e-01 2.157658338546752930e-03
2.365436028323949363e-02 9.381320476531982422e-01 2.143126446753740311e-03
2.376673251834920605e-02 9.296677112579345703e-01 2.131862565875053406e-03
2.387910475345892194e-02 9.228575229644775391e-01 2.116796094924211502e-03
2.399147698856863437e-02 9.149532318115234375e-01 2.101253485307097435e-03
2.410384922367835026e-02 9.079350233078002930e-01 2.093034330755472183e-03
2.421622145878806615e-02 9.026561379432678223e-01 2.077424200251698494e-03
2.432859369389778204e-02 8.929039835929870605e-01 2.058404963463544846e-03
2.444096592900749446e-02 8.871591687202453613e-01 2.052902942523360252e-03
2.455333816411721035e-02 8.770675063133239746e-01 2.032733522355556488e-03
2.466571039922692277e-02 8.706588745117187500e-01 2.019286854192614555e-03
2.477808263433663866e-02 8.624988198280334473e-01 2.007876522839069366e-03
2.489045486944635455e-02 8.570297956466674805e-01 1.995329512283205986e-03
2.500282710455607044e-02 8.492535948753356934e-01 1.979093067348003387e-03
2.511519933966578286e-02 8.420229554176330566e-01 1.970427343621850014e-03
