# b'S_10_45_M'
# q I errors
3.466683932399153290e-02 4.884855449199676514e-01 1.196516212075948715e-03
3.477921155910124185e-02 4.850974678993225098e-01 1.188021968118846416e-03
3.489158379421096468e-02 4.830286502838134766e-01 1.181937637738883495e-03
3.500395602932067363e-02 4.825285375118255615e-01 1.180574181489646435e-03
3.511632826443039646e-02 4.779725968837738037e-01 1.170299830846488476e-03
3.522870049954010541e-02 4.754360020160675049e-01 1.163928769528865814e-03
3.534107273464982130e-02 4.728245437145233154e-01 1.160160405561327934e-03
3.545344496975953719e-02 4.693195521831512451e-01 1.152482465840876102e-03
3.556581720486924614e-02 4.683471620082855225e-01 1.148200593888759613e-03
3.567818943997896897e-02 4.667266905307769775e-01 1.144159468822181225e-03
3.579056167508867792e-02 4.615353643894195557e-01 1.137082814238965511e-03
3.590293391019840075e-02 4.610587358474731445e-01 1.132912933826446533e-03
3.601530614530810970e-02 4.581519961357116699e-01 1.127685420215129852e-03
3.612767838041781865e-02 4.550730884075164795e-01 1.123029971495270729e-03
3.624005061552754148e-02 4.536806344985961914e-01 1.118800020776689053e-03
3.635242285063725043e-02 4.513607323169708252e-01 1.120845088735222816e-03
3.646479508574697326e-02 4.481243491172790527e-01 1.135965459980070591e-03
3.657716732085668221e-02 4.473250806331634521e-01 1.143738045357167721e-03
3.668953955596639810e-02 4.444051384925842285e-01 1.143589965067803860e-03
3.680191179107611399e-02 4.375157356262207031e-01 1.136802602559328079e-03
3.691428402618582294e-02 4.404521882534027100e-01 1.141638262197375298e-03
3.702665626129554577e-02 4.343595504760742188e-01 1.135333674028515816e-03
3.713902849640525472e-02 4.334115087985992432e-01 1.135474652983248234e-03
3.725140073151497755e-02 4.300779104232788086e-01 1.131516299210488796e-03
3.736377296662468650e-02 4.285953640937805176e-01 1.131023047491908073e-03
3.747614520173439545e-02 4.267847836017608643e-01 1.129873329773545265e-03
3.758851743684411828e-02 4.228456616401672363e-01 1.123230205848813057e-03
3.770088967195382723e-02 4.220702350139617920e-01 1.123603316955268383e-03
